Metric,Value
Total CSV files created,26
Total countries in scope,9
Countries with genuinely researched data,3
Countries not yet researched,6
"Observed data points (approx., core sheets)",45
Published forecasts,2
Derived data points,0
Analyst scenarios,8
Needs verification,6
Not available,"Majority of cells for 6 of 9 countries, and all TAM/SAM/SOM/Investment Score cells for all 9"
Critical data gaps (CRITICAL priority),6
Number of sources in Source_Register,14
Fabricated values found and removed from uploaded workbook,"Bahrain ESRD prevalence (3,000/million, implausible); unsourced 2026 Executive_Summary patient figures"
Overall status,"PARTIAL — Saudi Arabia / UAE / Qatar researched and sourced; Kuwait, Oman, Bahrain, Jordan, Lebanon, Iraq pending"
