Country,Country_Code,Section,Field,Value,Evidence_Level,Note
Kuwait,KWT,Market & Demand,2026 HD Patients,,NOT_AVAILABLE,Projection not made — no verified growth-rate model exists to roll 2021/2022 figures forward to 2026 without fabricating a trend
Kuwait,KWT,Market & Demand,2026 Total Dialysis,,NOT_AVAILABLE,Same as above
Kuwait,KWT,Market & Demand,Base Catheter Demand,,NOT_AVAILABLE,"40% catheter prevalence x 1.5 annual replacement — generic scenario assumption, not country-specific"
Kuwait,KWT,Market & Demand,Tunneled Demand,,NOT_AVAILABLE,"70% tunneled share — ANALYST_SCENARIO, not country-specific evidence"
Kuwait,KWT,Market & Demand,Non-Tunneled Demand,,NOT_AVAILABLE,30% non-tunneled share — ANALYST_SCENARIO
Kuwait,KWT,Clinical / Infrastructure,KRT,,NOT_AVAILABLE,Reference year: 
Kuwait,KWT,Clinical / Infrastructure,Chronic HD,,NOT_AVAILABLE,Reference year: 
Kuwait,KWT,Clinical / Infrastructure,Dialysis Centers,,NOT_AVAILABLE,Reference year: 
Kuwait,KWT,Clinical / Infrastructure,HD Units,,NOT_AVAILABLE,
Kuwait,KWT,Clinical / Infrastructure,Major Hospitals,,NOT_AVAILABLE,"Count of named, individually verified hospitals in Major_Hospitals sheet"
Kuwait,KWT,Clinical / Infrastructure,Transplant Centers,,NOT_AVAILABLE,
Kuwait,KWT,Commercial,ASP,,NOT_AVAILABLE,No publicly disclosed unit price found
Kuwait,KWT,Commercial,TAM,,NOT_AVAILABLE,Blocked by missing ASP
Kuwait,KWT,Commercial,SAM,,NOT_AVAILABLE,Blocked by missing TAM
Kuwait,KWT,Commercial,SOM,,NOT_AVAILABLE,Blocked by missing SAM
Kuwait,KWT,Commercial,Investment Score,,NOT_AVAILABLE,Would require fabricating sub-category scores
Kuwait,KWT,Commercial,Investment Grade,,NOT_AVAILABLE,Depends on Investment Score
Kuwait,KWT,Research Coverage,KOL Coverage,0 of 8 verified,OBSERVED,
Kuwait,KWT,Research Coverage,Distributor Coverage,0 of 10,OBSERVED,
Kuwait,KWT,Research Coverage,Tender Coverage,0 tenders located,OBSERVED,
Kuwait,KWT,Research Coverage,Data Gap Status,CRITICAL — country not yet researched,,
