Source_ID,Country,Source_Name,Publisher,Publication_Date,Source_URL,Evidence_Level,What_It_Supports,Access_Date
SRC-SAU-BMCPH-2024,Saudi Arabia,The utilization of renal dialysis: a comprehensive study in Saudi Arabia,BMC Public Health,2024-07-01,https://pmc.ncbi.nlm.nih.gov/articles/PMC11253410/,OBSERVED,"275 renal dialysis centers, >8,000 HD machines, 20,440 HD patients, 1,861 PD patients — GaStat x MoH dataset, reference year 2021.",2026-08-10
SRC-SAU-CUREUS-2023,Saudi Arabia,Factors Affecting Adherence to Hemodialysis Therapy (Al-Ahsa Region),Cureus,2023-10-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10630638/,OBSERVED,"20,534 HD patients (2021), 9,810 post-transplant follow-up patients (2021), RRT prevalence 294.3 per million, ~6%/yr HD growth.",2026-08-10
SRC-SAU-BMCNEPH-2024,Saudi Arabia,Establishing the Kidney dIsease in the National guarD (KIND) registry,BMC Nephrology,2024-02-19,https://bmcnephrol.biomedcentral.com/articles/10.1186/s12882-024-03479-0,OBSERVED,"Cites the latest available SCOT annual report figure of ~30,000 patients on kidney replacement therapy (KRT = dialysis + functioning transplants) nationally.",2026-08-10
SRC-SAU-SCOT-KAP-2025,Saudi Arabia,SCOT Kidney Allocation Policy,Saudi Center for Organ Transplantation,2025-12-01,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Names 4 national kidney transplantation/nephrology committee leaders with institutional affiliations.,2026-08-10
SRC-NUPCO-NPT0003-24,Saudi Arabia,NPT0003-24 Renal Consumable Tender — Final Award Batch 2,NUPCO,2024-01-08,https://www.nupco.com/wp-content/uploads/2024/01/NPT0003-24-_-RENAL-CONSUMABLE-TENDER-_-FINAL_AWARD_BATCH2.pdf,OBSERVED,Real awarded vendors/manufacturers for tunneled and non-tunneled HD catheters. No unit prices disclosed.,2026-08-10
SRC-ARE-MOHAP-KIDNEY,UAE,Kidney Disease in UAE,UAE MOHAP,,https://mohap.gov.ae/documents/20117/1303194/Kidney%20Disease%20in%20UAE.pdf/0d6198ca-257d-e352-4437-2d31e52247df,OBSERVED,"ESRD prevalence 152 per million (2017); ~502,419 estimated annual dialysis visits UAE-wide. Site blocks automated fetch; taken from search snippet only, not independently verified line-by-line.",2026-08-10
SRC-ARE-IJNRD-2024,UAE,Decarbonisation of Kidney Care in the United Arab Emirates: A Roadmap,Int. J. Nephrology and Renovascular Disease (Dove Press),2024-10-15,https://pmc.ncbi.nlm.nih.gov/articles/PMC11490247/,OBSERVED,"HD prevalence ~370/million (older est., growth up to 15%/yr); long-term KRT prevalence 201.4/million (cites ISN Global Kidney Health Atlas 2021); recent local Abu Dhabi growth ~6-7%/yr; named SEHA Kidney Care leadership (Holt SG, Al Obeidli AAK).",2026-08-10
SRC-ARE-NEPHROLOGY-2024,UAE,"Gender, age and nationality differences in CKD prevalence, Abu Dhabi",Nephrology (journal),2024-01-01,https://www.researchgate.net/publication/378802108_Gender_age_and_nationality_differences_in_chronic_kidney_disease_prevalence_in_the_emirate_of_Abu_Dhabi_UAE,OBSERVED,"2M-test/700k-person Abu Dhabi CKD study, 2020-2024; ~24% GFR<90, 4-5% CKD stage 3-5; named authors incl. Almadani AK, Al Obaidli AAK.",2026-08-10
SRC-ARE-CCAD-HIJAZI,UAE,Dr. Fadi Hijazi profile,Cleveland Clinic Abu Dhabi,,https://www.clevelandclinicabudhabi.ae/en/find-a-doctor/fadi-hijazi,OBSERVED,"Division Chair, Nephrology, Cleveland Clinic Abu Dhabi.",2026-08-10
SRC-ARE-CCAD-ATTALLAH,UAE,Dr. Nizar Attallah profile,Cleveland Clinic Abu Dhabi (edarabia mirror),,https://m.edarabia.com/dr-nizar-attallah/,OBSERVED,"Transplant Nephrologist, Cleveland Clinic Abu Dhabi.",2026-08-10
SRC-ARE-AHDUBAI-KOULI,UAE,Dr. Fahed Kouli profile,American Hospital Dubai,,https://www.ahdubai.com/doctors-profile/fahed-kouli,OBSERVED,"Consultant Nephrologist, American Hospital Dubai, >20yrs in Dubai.",2026-08-10
SRC-ARE-AZHD-SAHITYANI,UAE,Dr. Rachna Sahityani profile,Al Zahra Hospital Dubai,,https://azhd.ae/doctors/dr-rachna-sahityani/,OBSERVED,"Consultant Nephrologist & Medical Director, Al Zahra Hospital Dubai.",2026-08-10
SRC-ARE-KENRESEARCH,UAE,UAE Hemodialysis Catheter Market report,"Ken Research (commercial, methodology undisclosed)",2025-10-29,https://www.kenresearch.com/uae-hemodialysis-catheter-market,PUBLISHED_FORECAST,Third-party estimate: UAE HD catheter market ~USD 14M. Not used as this model's own TAM.,2026-08-10
SRC-QAT-QMJ-2023,Qatar,Time-Series Forecasting of Hemodialysis Population in the State of Qatar by 2030,Qatar Medical Journal,2023-02-20,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943994/,OBSERVED,"900 HD + 250 PD = 1,150 total dialysis patients (1 Jan 2022), all via Hamad Medical Corporation; 7 dialysis units, 197 HD stations nationally; named nephrologists Hamad A, Alkadi MM, Al-Malki HA. Also a PUBLISHED_FORECAST polynomial projection to 1,611 by 2030.",2026-08-10
