Check,Category,Result,Note
Country present: Saudi Arabia,Coverage,PASS,"SAU present in Country_Master, no duplicates"
Country present: UAE,Coverage,PASS,"ARE present in Country_Master, no duplicates"
Country present: Qatar,Coverage,PASS,"QAT present in Country_Master, no duplicates"
Country present: Kuwait,Coverage,PASS,"KWT present in Country_Master, no duplicates"
Country present: Oman,Coverage,PASS,"OMN present in Country_Master, no duplicates"
Country present: Bahrain,Coverage,PASS,"BHR present in Country_Master, no duplicates"
Country present: Jordan,Coverage,PASS,"JOR present in Country_Master, no duplicates"
Country present: Lebanon,Coverage,PASS,"LBN present in Country_Master, no duplicates"
Country present: Iraq,Coverage,PASS,"IRQ present in Country_Master, no duplicates"
No fabricated Bahrain ESRD PMP figure carried over,Provenance,PASS,"Uploaded workbook's Bahrain figure (3,000 per million — implausibly high) was NOT carried into this build"
No unsourced 2026 patient projections carried over,Provenance,PASS,Uploaded workbook's Executive_Summary 2026 figures had no visible source/formula and were NOT reused
"Sources checked are real, fetchable documents",Provenance,PASS,PMC11253410 and PMC11490247 (cited in uploaded file) independently verified as real papers matching this build's own sources
KRT vs HD not conflated,Data Integrity,PASS,"Saudi Total_KRT_Patients (~30,000, SCOT) kept separate from Chronic_HD_Patients (20,534, Cureus)"
Historical data not labeled as 2026,Data Integrity,PASS,1995-era Saudi facility count (103 centers) explicitly excluded from current figures
Hospitals ≠ Centers ≠ Units,Data Integrity,PASS,"Saudi Centers=275 kept separate from (unverified) Hospitals/Units; Qatar Units=197 explicitly labeled as HD stations, not hospital departments"
Manufacturer ≠ Distributor,Data Integrity,PASS,Competitor_Master and Top_Distributors keep manufacturer and awarded distributor in separate columns for all NPT0003-24 lines
No undisclosed tender price estimated,Data Integrity,PASS,NPT0003-24 Unit_Price left blank / NOT_PUBLICLY_DISCLOSED throughout
TAM/SAM/SOM not computed without ASP,Data Integrity,PASS,Market_Sizing and Executive_Summary leave TAM/SAM/SOM blank for all 9 countries
Investment Score not computed with missing sub-inputs,Data Integrity,PASS,"Investment_Score left blank for all 9 countries — sub-category data (competitive intensity, distributor accessibility) not verified enough to score honestly"
Tunneled + Non-tunneled = Total (where computed),Math,PASS,Demand_Model: verified for Saudi Arabia and Qatar scenario rows (only countries with a patient base)
Tunneled share + Non-tunneled share = 100%,Math,PASS,0.70 + 0.30 = 1.00 for the 2 countries with a demand model
6 of 9 countries have zero fabricated data points,Coverage,WARNING,"Kuwait, Oman, Bahrain, Jordan, Lebanon, Iraq are NOT_AVAILABLE/blank throughout rather than researched — by design, not an error, but flagged as incomplete coverage"
