Country,Country_Code,Section,Field,Value,Evidence_Level,Note
Jordan,JOR,Market & Demand,2026 HD Patients,,NOT_AVAILABLE,Projection not made — no verified growth-rate model exists to roll 2021/2022 figures forward to 2026 without fabricating a trend
Jordan,JOR,Market & Demand,2026 Total Dialysis,,NOT_AVAILABLE,Same as above
Jordan,JOR,Market & Demand,Base Catheter Demand,,NOT_AVAILABLE,"40% catheter prevalence x 1.5 annual replacement — generic scenario assumption, not country-specific"
Jordan,JOR,Market & Demand,Tunneled Demand,,NOT_AVAILABLE,"70% tunneled share — ANALYST_SCENARIO, not country-specific evidence"
Jordan,JOR,Market & Demand,Non-Tunneled Demand,,NOT_AVAILABLE,30% non-tunneled share — ANALYST_SCENARIO
Jordan,JOR,Clinical / Infrastructure,KRT,,NOT_AVAILABLE,Reference year: 
Jordan,JOR,Clinical / Infrastructure,Chronic HD,,NOT_AVAILABLE,Reference year: 
Jordan,JOR,Clinical / Infrastructure,Dialysis Centers,,NOT_AVAILABLE,Reference year: 
Jordan,JOR,Clinical / Infrastructure,HD Units,,NOT_AVAILABLE,
Jordan,JOR,Clinical / Infrastructure,Major Hospitals,,NOT_AVAILABLE,"Count of named, individually verified hospitals in Major_Hospitals sheet"
Jordan,JOR,Clinical / Infrastructure,Transplant Centers,,NOT_AVAILABLE,
Jordan,JOR,Commercial,ASP,,NOT_AVAILABLE,No publicly disclosed unit price found
Jordan,JOR,Commercial,TAM,,NOT_AVAILABLE,Blocked by missing ASP
Jordan,JOR,Commercial,SAM,,NOT_AVAILABLE,Blocked by missing TAM
Jordan,JOR,Commercial,SOM,,NOT_AVAILABLE,Blocked by missing SAM
Jordan,JOR,Commercial,Investment Score,,NOT_AVAILABLE,Would require fabricating sub-category scores
Jordan,JOR,Commercial,Investment Grade,,NOT_AVAILABLE,Depends on Investment Score
Jordan,JOR,Research Coverage,KOL Coverage,0 of 8 verified,OBSERVED,
Jordan,JOR,Research Coverage,Distributor Coverage,0 of 10,OBSERVED,
Jordan,JOR,Research Coverage,Tender Coverage,0 tenders located,OBSERVED,
Jordan,JOR,Research Coverage,Data Gap Status,CRITICAL — country not yet researched,,
