Country,Data_Gap,Priority,Why_Missing,Required_Research_Action,Suggested_Source,Status
Saudi Arabia,Hospital / Unit facility counts (as distinct from Centers),HIGH,No source separates hospitals and dedicated HD units from the 275-center aggregate.,Locate a MOH open-data release or SCOT current-year report breaking out hospital vs. standalone-center vs. in-hospital-unit counts.,Saudi MOH Statistical Yearbook 2024/2025 (Excel),OPEN
Saudi Arabia,NUPCO award unit prices,HIGH,Award PDF does not disclose per-unit pricing.,Contact NUPCO supplier portal or hospital procurement directly; do not estimate.,NUPCO supplier portal,OPEN
Saudi Arabia,NUPCO item-level SKU codes,MEDIUM,Full 59-page item table not extracted line-by-line this session.,Systematically parse the full award PDF table.,"Same NPT0003-24 PDF, deeper extraction",OPEN
Saudi Arabia,4 additional KOLs (target 8),HIGH,Only transplant-committee members verified so far; no dedicated vascular-access/HD-unit-director KOLs found.,"Search Saudi Society of Nephrology & Transplantation, dialysis-unit director listings by major hospital.",Saudi Society of Nephrology and Transplantation,OPEN
UAE,Official current HD/KRT patient headcount,HIGH,"Only conflicting prevalence rates found (152 vs 370 per million, different years/sources); no official count.","Request MOHAP/DHA/SEHA statistical yearbook with an explicit patient count, not just a rate.","MOHAP Open Data portal, DHA statistics",OPEN
UAE,National facility count (hospitals/centers/units),HIGH,No consolidated national total located despite multiple searches.,MOHAP/DHA/SEHA annual statistical yearbook.,"MOHAP, DHA",OPEN
UAE,Tender-verified distributor list,HIGH,No UAE government tender award document located; current 2 distributors are self-reported only.,Search DHA/MOHAP/Emirates Health Services procurement portals for HD catheter tenders.,DHA/MOHAP procurement portal,OPEN
UAE,Catheter ASP,HIGH,No public pricing found; third-party market-size estimate (Ken Research) does not disclose ASP methodology.,"Distributor price lists, tender awards with disclosed pricing.",N/A — primary research required,OPEN
Qatar,5 additional KOLs (target 8),MEDIUM,"5 co-authors on the national HD forecast paper are HMC Quality & Patient Safety staff, not clinical nephrologists — excluded from KOL count on relevance grounds, not fabricated to fill the gap.",Identify HMC vascular-access surgeons / interventional nephrologists / dialysis unit directors directly.,Hamad Medical Corporation directory,OPEN
Qatar,Distributor list,HIGH,No distributor evidence located; Qatar dialysis procurement likely centralized through HMC's own supply chain.,Search Qatar government tender portal (Ministry of Public Health / HMC procurement) directly rather than a generic distributor search.,Qatar Ministry of Public Health tender portal,OPEN
Qatar,Catheter ASP / tender pricing,HIGH,No public Qatar tender or price data located this session.,HMC procurement / Qatar central tender board.,N/A,OPEN
Kuwait,"All fields (patient data, facilities, KOLs, distributors, tenders, ASP)",CRITICAL,Country not yet researched in this session.,"Full research pass per the same methodology used for Saudi Arabia, UAE and Qatar.","MOH/national registry, PubMed/PMC, national procurement portal",NOT STARTED
Oman,"All fields (patient data, facilities, KOLs, distributors, tenders, ASP)",CRITICAL,Country not yet researched in this session.,"Full research pass per the same methodology used for Saudi Arabia, UAE and Qatar.","MOH/national registry, PubMed/PMC, national procurement portal",NOT STARTED
Bahrain,"All fields (patient data, facilities, KOLs, distributors, tenders, ASP)",CRITICAL,Country not yet researched in this session.,"Full research pass per the same methodology used for Saudi Arabia, UAE and Qatar.","MOH/national registry, PubMed/PMC, national procurement portal",NOT STARTED
Jordan,"All fields (patient data, facilities, KOLs, distributors, tenders, ASP)",CRITICAL,Country not yet researched in this session.,"Full research pass per the same methodology used for Saudi Arabia, UAE and Qatar.","MOH/national registry, PubMed/PMC, national procurement portal",NOT STARTED
Lebanon,"All fields (patient data, facilities, KOLs, distributors, tenders, ASP)",CRITICAL,Country not yet researched in this session.,"Full research pass per the same methodology used for Saudi Arabia, UAE and Qatar.","MOH/national registry, PubMed/PMC, national procurement portal",NOT STARTED
Iraq,"All fields (patient data, facilities, KOLs, distributors, tenders, ASP)",CRITICAL,Country not yet researched in this session.,"Full research pass per the same methodology used for Saudi Arabia, UAE and Qatar.","MOH/national registry, PubMed/PMC, national procurement portal",NOT STARTED
All 9 Countries,TAM/SAM/SOM,HIGH,No country has a verified catheter ASP; computing market size would require fabricating a price.,"Primary research: distributor price lists, disclosed tender awards, or direct market interviews.",N/A — out of scope for desk research alone,OPEN
All 9 Countries,Investment Score (Part 17 weighted model),HIGH,"Most of the 8 weighted sub-categories (competitive intensity, distributor accessibility, procurement accessibility) lack verified inputs for 8 of 9 countries; computing a score would mean inventing sub-scores.","Complete KOL/distributor/tender/ASP research for all 9 countries first, then compute the weighted score from real inputs.",Derived from other sheets once populated,OPEN
