Country,Country_Code,Section,Field,Value,Evidence_Level,Note
Bahrain,BHR,Market & Demand,2026 HD Patients,,NOT_AVAILABLE,Projection not made — no verified growth-rate model exists to roll 2021/2022 figures forward to 2026 without fabricating a trend
Bahrain,BHR,Market & Demand,2026 Total Dialysis,,NOT_AVAILABLE,Same as above
Bahrain,BHR,Market & Demand,Base Catheter Demand,,NOT_AVAILABLE,"40% catheter prevalence x 1.5 annual replacement — generic scenario assumption, not country-specific"
Bahrain,BHR,Market & Demand,Tunneled Demand,,NOT_AVAILABLE,"70% tunneled share — ANALYST_SCENARIO, not country-specific evidence"
Bahrain,BHR,Market & Demand,Non-Tunneled Demand,,NOT_AVAILABLE,30% non-tunneled share — ANALYST_SCENARIO
Bahrain,BHR,Clinical / Infrastructure,KRT,,NOT_AVAILABLE,Reference year: 
Bahrain,BHR,Clinical / Infrastructure,Chronic HD,,NOT_AVAILABLE,Reference year: 
Bahrain,BHR,Clinical / Infrastructure,Dialysis Centers,,NOT_AVAILABLE,Reference year: 
Bahrain,BHR,Clinical / Infrastructure,HD Units,,NOT_AVAILABLE,
Bahrain,BHR,Clinical / Infrastructure,Major Hospitals,,NOT_AVAILABLE,"Count of named, individually verified hospitals in Major_Hospitals sheet"
Bahrain,BHR,Clinical / Infrastructure,Transplant Centers,,NOT_AVAILABLE,
Bahrain,BHR,Commercial,ASP,,NOT_AVAILABLE,No publicly disclosed unit price found
Bahrain,BHR,Commercial,TAM,,NOT_AVAILABLE,Blocked by missing ASP
Bahrain,BHR,Commercial,SAM,,NOT_AVAILABLE,Blocked by missing TAM
Bahrain,BHR,Commercial,SOM,,NOT_AVAILABLE,Blocked by missing SAM
Bahrain,BHR,Commercial,Investment Score,,NOT_AVAILABLE,Would require fabricating sub-category scores
Bahrain,BHR,Commercial,Investment Grade,,NOT_AVAILABLE,Depends on Investment Score
Bahrain,BHR,Research Coverage,KOL Coverage,0 of 8 verified,OBSERVED,
Bahrain,BHR,Research Coverage,Distributor Coverage,0 of 10,OBSERVED,
Bahrain,BHR,Research Coverage,Tender Coverage,0 tenders located,OBSERVED,
Bahrain,BHR,Research Coverage,Data Gap Status,CRITICAL — country not yet researched,,
