Country,KOL_Name,Institution,City,Specialty,Current_Position,Role_Influence,Catheter_Relevance,Vascular_Access_Relevance,Evidence_URL,Evidence_Level,Verification_Status
Saudi Arabia,Dr. Abdulrahman Altheaby,King Abdulaziz Medical City / National Guard Health Affairs,Riyadh,Nephrology / Renal & Pancreas Transplantation,"Chairman, SCOT Kidney Allocation Policy Committee",National transplant-nephrology policy leader,Indirect (transplant pathway affects HD-to-transplant patient flow),Not established,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified — named in official SCOT document
Saudi Arabia,Dr. Sultan Al Dalbahi,Prince Sultan Military Medical City,Riyadh,Nephrology / Renal Transplant,"Vice-Chairman, SCOT Kidney Allocation Policy Committee","Senior nephrology/transplant leader, major military referral hospital",Indirect,Not established,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified
Saudi Arabia,Dr. Mutaab Al Baqmi,King Fahad Specialist Hospital,Dammam,Transplant Nephrology,"Committee Member, SCOT Kidney Allocation Policy Committee",Regional (Eastern Province) transplant-nephrology leader,Indirect,Not established,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified
Saudi Arabia,Dr. Wael Habhab,King Faisal Specialist Hospital & Research Center,Jeddah,Nephrology / Renal Transplant,"Committee Member, SCOT Kidney Allocation Policy Committee",Western-region transplant-nephrology leader,Indirect,Not established,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified
UAE,Dr. Stephen Geoffrey Holt,SEHA Kidney Care Central,Abu Dhabi,Nephrology,"Head, SEHA Kidney Care","Corresponding author, national kidney-care decarbonisation roadmap; senior public dialysis-network leader",High (oversees dialysis-network clinical practice),Not established from this source,https://pmc.ncbi.nlm.nih.gov/articles/PMC11490247/,OBSERVED,Verified
UAE,Dr. Ali Abdul Kareem Al Obeidli,Abu Dhabi Health Services Company (SEHA Kidney Care),Abu Dhabi,Nephrology,SEHA Kidney Care leadership,"Named co-author, national dialysis-carbon-footprint and CKD-prevalence studies",Moderate-High,Not established,https://pmc.ncbi.nlm.nih.gov/articles/PMC11490247/,OBSERVED,Verified
UAE,Dr. AK Almadani,SEHA (Abu Dhabi),Abu Dhabi,Nephrology / CKD epidemiology,"Co-author, 2M-test Abu Dhabi CKD prevalence study",Research leadership on CKD burden,Moderate,Not established,https://www.researchgate.net/publication/378802108_Gender_age_and_nationality_differences_in_chronic_kidney_disease_prevalence_in_the_emirate_of_Abu_Dhabi_UAE,OBSERVED,Verified
UAE,Dr. Fadi Hijazi,Cleveland Clinic Abu Dhabi,Abu Dhabi,Nephrology,"Division Chair, Nephrology Department",Department head at a major private tertiary hospital,Moderate-High,Not established,https://www.clevelandclinicabudhabi.ae/en/find-a-doctor/fadi-hijazi,OBSERVED,Verified
UAE,Dr. Nizar Attallah,Cleveland Clinic Abu Dhabi,Abu Dhabi,Transplant Nephrology,Transplant Nephrologist,"Former Director of Home Dialysis, Nephrology Associates of Kentuckiana (US); now practicing Abu Dhabi",Moderate,Home-dialysis background may be relevant,https://m.edarabia.com/dr-nizar-attallah/,OBSERVED,Verified
UAE,Dr. Fahed Kouli,American Hospital Dubai,Dubai,Nephrology / Hypertension,Consultant Nephrologist,>20 years practicing in Dubai; Johns Hopkins-trained,Moderate,Not established,https://www.ahdubai.com/doctors-profile/fahed-kouli,OBSERVED,Verified
UAE,Dr. Rachna Sahityani,Al Zahra Hospital Dubai,Dubai,Nephrology,Consultant Nephrologist & Medical Director,Prior US Dialysis Medical Director (Fresenius) and Saudi HoD experience,Moderate-High (dialysis medical-director background),Not established,https://azhd.ae/doctors/dr-rachna-sahityani/,OBSERVED,Verified
Qatar,Dr. Abdullah Hamad,Hamad Medical Corporation,Doha,Nephrology,"Division of Nephrology (corresponding author, national HD forecasting study)",Leads the only national HD forecasting/registry effort in Qatar,High,Not established,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943994/,OBSERVED,Verified
Qatar,Dr. Mohamad M. Alkadi,Hamad Medical Corporation,Doha,Nephrology,Division of Nephrology,"Senior HMC nephrologist, co-author national HD forecast",High,Not established,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943994/,OBSERVED,Verified
Qatar,Dr. Hassan Ali Al-Malki,Hamad Medical Corporation,Doha,Nephrology,Division of Nephrology,"Senior HMC nephrologist, co-author national HD forecast",High,Not established,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943994/,OBSERVED,Verified
