Country,Hospital_Name,City,Ownership,Nephrology_Service,Dialysis_Service,Transplant_Service,HD_Relevance,Published_HD_Volume,Why_Important,Evidence_URL,Evidence_Level,Verification_Status
Saudi Arabia,King Abdulaziz Medical City,Riyadh,Government (NGHA),Yes,Yes (implied by transplant-referral role),Yes,High,,National transplant-nephrology policy center,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified as named transplant-nephrology center; explicit dialysis-volume not disclosed
Saudi Arabia,Prince Sultan Military Medical City,Riyadh,Government (Military),Yes,Yes (implied),Yes,High,,"Major military referral hospital, transplant leadership",https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified
Saudi Arabia,King Fahad Specialist Hospital,Dammam,Government,Yes,Yes (implied),Yes,High,,Eastern Province transplant-nephrology referral center,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified
Saudi Arabia,King Faisal Specialist Hospital & Research Center,Jeddah,Government (quaternary),Yes,Yes (implied),Yes,High,,Western-region quaternary referral center,https://www.scot.gov.sa/sites/default/files/2025-12/kidney%20Allocation%20Policy_1.pdf,OBSERVED,Verified
Saudi Arabia,Riyadh Central Hospital,Riyadh,Government (MOH),Historical,"Yes — historical (first unit, 1972)",Not established,Historical significance,,Site of Saudi Arabia's first HD unit,https://journals.lww.com/kidney360/fulltext/2025/06000/dialysis_management_and_funding_in_saudi_arabia.23.aspx,OBSERVED,Current operating status not confirmed
UAE,SEHA Kidney Care network,Abu Dhabi (multi-site),Government (SEHA),Yes,Yes,Not established from this source,High — largest public dialysis network in Abu Dhabi,,"Primary public-sector dialysis provider, Abu Dhabi",https://pmc.ncbi.nlm.nih.gov/articles/PMC11490247/,OBSERVED,Verified as an operating network; no facility count disclosed
UAE,Cleveland Clinic Abu Dhabi,Abu Dhabi,Private (Mubadala/Cleveland Clinic JV),Yes,Yes,Yes,High,,364-bed tertiary hospital with dedicated Nephrology Division,https://www.clevelandclinicabudhabi.ae/en/departments/nephrology,OBSERVED,Verified
UAE,Al Twar Dialysis Center (Dubai Health),Dubai,Government (Dubai Health) / operated by Mediclinic,Yes,Yes,Not established,High,,Dedicated dialysis center opened 2021 to meet Dubai demand,https://dubaihealth.ae/facility/ambulatory-health-center/al-twar-dialysis-center,OBSERVED,Verified
UAE,Rashid Hospital,Dubai,Government (DHA),Not confirmed,Not confirmed from this source,Not established,"Uncertain — included as DHA's oldest tertiary/trauma hospital, not confirmed dialysis-specific",,786-bed major trauma/tertiary DHA hospital,https://en.wikipedia.org/wiki/Rashid_Hospital,NEEDS_VERIFICATION,Facility identity verified; dialysis-service status not confirmed — do not assume
UAE,American Hospital Dubai,Dubai,Private,Yes,Yes,Not established,Moderate-High,,"Dedicated Nephrology, Hypertension & Dialysis department",https://www.ahdubai.com/services/nephrology-and-dialysis,OBSERVED,Verified
UAE,Al Zahra Hospital Dubai,Dubai,Private,Yes,Yes,Not established,Moderate,,Private nephrology department led by former US dialysis medical director,https://azhd.ae/doctors/dr-rachna-sahityani/,OBSERVED,Verified
Qatar,Hamad Medical Corporation (HMC),Doha (multi-site),Government (nonprofit),Yes,Yes — sole public provider,Not established from this source,Very High — entire national dialysis system runs through HMC,900 HD patients / 197 HD stations (2022),Sole provider of dialysis services in Qatar; 7 ambulatory dialysis units nationally,https://pmc.ncbi.nlm.nih.gov/articles/PMC9943994/,OBSERVED,Verified
