Country,Area,HD_Patient_Concentration_Score,Dialysis_Center_Concentration_Score,Tertiary_Hospital_Score,Population_Concentration_Score,Procurement_Activity_Score,Hot_Area_Score,Score_Status,Evidence,Source
Saudi Arabia,Riyadh,,,,,,,ANALYST_SCENARIO / PARTIAL,"Capital, largest population, highest concentration of named tertiary referral hospitals (KAMC, PSMMC)","Inference from population + named-hospital density, not a dedicated HD density study"
Saudi Arabia,Jeddah,,,,,,,ANALYST_SCENARIO / PARTIAL,Second-largest city; KFSH&RC Jeddah is a named referral center,"Inference, not a dedicated density study"
Saudi Arabia,Dammam / Eastern Province,,,,,,,ANALYST_SCENARIO / PARTIAL,Major population center; King Fahad Specialist Hospital Dammam named,"Inference, not a dedicated density study"
UAE,Abu Dhabi,,,,,,,ANALYST_SCENARIO / PARTIAL,Home of SEHA Kidney Care network and Cleveland Clinic Abu Dhabi,Inference from named-facility density
UAE,Dubai,,,,,,,ANALYST_SCENARIO / PARTIAL,Most populous emirate; multiple named private and public dialysis providers,Inference
Qatar,Doha,,,,,,,PARTIAL,"All 7 HMC dialysis units and the national HD program are HMC-centralized, mostly in/around Doha",Inferred from HMC's centralized structure; not a per-area breakdown
Kuwait,,,,,,,,NOT_AVAILABLE,Not yet researched,
Oman,,,,,,,,NOT_AVAILABLE,Not yet researched,
Bahrain,,,,,,,,NOT_AVAILABLE,Not yet researched,
Jordan,,,,,,,,NOT_AVAILABLE,Not yet researched,
Lebanon,,,,,,,,NOT_AVAILABLE,Not yet researched,
Iraq,,,,,,,,NOT_AVAILABLE,Not yet researched,
